query,expected_state,expected_track,sample_duration,sample_start_position,degradation,predicted_track,best_score,second_best_score,margin,decision,correct_decision,processing_time,execution_status,error_message
Ab.mp4,KNOWN,Ab,5.0,9.345907029478457,CLEAN,Ab,33,1,32,MATCH,True,0.13,SUCCESS,
Ab.mp4,KNOWN,Ab,5.0,18.691814058956915,CLEAN,Ab,470,1,469,MATCH,True,0.13,SUCCESS,
Ab.mp4,KNOWN,Ab,5.0,28.037721088435372,CLEAN,Ab,20,1,19,MATCH,True,0.13,SUCCESS,
Ab.mp4,KNOWN,Ab,5.0,9.345907029478457,LIGHT,Ab,33,1,32,MATCH,True,0.14,SUCCESS,
Ab.mp4,KNOWN,Ab,5.0,18.691814058956915,LIGHT,Ab,439,1,438,MATCH,True,0.15,SUCCESS,
Ab.mp4,KNOWN,Ab,5.0,28.037721088435372,LIGHT,Ab,19,1,18,MATCH,True,0.14,SUCCESS,
Ab.mp4,KNOWN,Ab,5.0,9.345907029478457,MEDIUM,Ab,28,1,27,MATCH,True,0.13,SUCCESS,
Ab.mp4,KNOWN,Ab,5.0,18.691814058956915,MEDIUM,Ab,248,1,247,MATCH,True,0.14,SUCCESS,
Ab.mp4,KNOWN,Ab,5.0,28.037721088435372,MEDIUM,Ab,22,1,21,MATCH,True,0.13,SUCCESS,
Ab.mp4,KNOWN,Ab,5.0,9.345907029478457,VOICE_OVER,Ab,9,1,8,POSSIBLE_MATCH,True,0.16,SUCCESS,
Ab.mp4,KNOWN,Ab,5.0,18.691814058956915,VOICE_OVER,Ab,47,1,46,MATCH,True,0.14,SUCCESS,
Ab.mp4,KNOWN,Ab,5.0,28.037721088435372,VOICE_OVER,Ab,8,1,7,POSSIBLE_MATCH,True,0.15,SUCCESS,
Ab.mp4,KNOWN,Ab,5.0,9.345907029478457,SPEED_UP,Ab,1,1,0,NO_MATCH,False,0.14,SUCCESS,
Ab.mp4,KNOWN,Ab,5.0,18.691814058956915,SPEED_UP,Ab,1,1,0,NO_MATCH,False,0.15,SUCCESS,
Ab.mp4,KNOWN,Ab,5.0,28.037721088435372,SPEED_UP,kara,1,1,0,NO_MATCH,False,0.17,SUCCESS,
Ab.mp4,KNOWN,Ab,5.0,9.345907029478457,SLOW_DOWN,lily,2,1,1,NO_MATCH,False,0.12,SUCCESS,
Ab.mp4,KNOWN,Ab,5.0,18.691814058956915,SLOW_DOWN,lily,1,1,0,NO_MATCH,False,0.14,SUCCESS,
Ab.mp4,KNOWN,Ab,5.0,28.037721088435372,SLOW_DOWN,Ab,2,1,1,NO_MATCH,False,0.13,SUCCESS,
Ab.mp4,KNOWN,Ab,5.0,9.345907029478457,REVERB,Ab,28,0,28,MATCH,True,0.3,SUCCESS,
Ab.mp4,KNOWN,Ab,5.0,18.691814058956915,REVERB,Ab,6,2,4,POSSIBLE_MATCH,True,0.28,SUCCESS,
Ab.mp4,KNOWN,Ab,5.0,28.037721088435372,REVERB,Ab,9,1,8,POSSIBLE_MATCH,True,0.27,SUCCESS,
Ab.mp4,KNOWN,Ab,8.0,9.345907029478457,CLEAN,Ab,55,1,54,MATCH,True,0.13,SUCCESS,
Ab.mp4,KNOWN,Ab,8.0,18.691814058956915,CLEAN,Ab,767,1,766,MATCH,True,0.13,SUCCESS,
Ab.mp4,KNOWN,Ab,8.0,28.037721088435372,CLEAN,Ab,43,1,42,MATCH,True,0.12,SUCCESS,
Ab.mp4,KNOWN,Ab,8.0,9.345907029478457,LIGHT,Ab,51,1,50,MATCH,True,2.17,SUCCESS,
Ab.mp4,KNOWN,Ab,8.0,18.691814058956915,LIGHT,Ab,671,1,670,MATCH,True,0.16,SUCCESS,
Ab.mp4,KNOWN,Ab,8.0,28.037721088435372,LIGHT,Ab,45,1,44,MATCH,True,0.14,SUCCESS,
Ab.mp4,KNOWN,Ab,8.0,9.345907029478457,MEDIUM,Ab,45,1,44,MATCH,True,0.17,SUCCESS,
Ab.mp4,KNOWN,Ab,8.0,18.691814058956915,MEDIUM,Ab,441,2,439,MATCH,True,0.15,SUCCESS,
Ab.mp4,KNOWN,Ab,8.0,28.037721088435372,MEDIUM,Ab,47,1,46,MATCH,True,0.13,SUCCESS,
Ab.mp4,KNOWN,Ab,8.0,9.345907029478457,VOICE_OVER,Ab,18,1,17,MATCH,True,0.15,SUCCESS,
Ab.mp4,KNOWN,Ab,8.0,18.691814058956915,VOICE_OVER,Ab,63,1,62,MATCH,True,0.16,SUCCESS,
Ab.mp4,KNOWN,Ab,8.0,28.037721088435372,VOICE_OVER,Ab,10,1,9,MATCH,True,0.13,SUCCESS,
Ab.mp4,KNOWN,Ab,8.0,9.345907029478457,SPEED_UP,Ab,1,1,0,NO_MATCH,False,0.14,SUCCESS,
Ab.mp4,KNOWN,Ab,8.0,18.691814058956915,SPEED_UP,Ab,1,1,0,NO_MATCH,False,0.14,SUCCESS,
Ab.mp4,KNOWN,Ab,8.0,28.037721088435372,SPEED_UP,kara,1,1,0,NO_MATCH,False,0.14,SUCCESS,
Ab.mp4,KNOWN,Ab,8.0,9.345907029478457,SLOW_DOWN,lily,3,1,2,NO_MATCH,False,0.18,SUCCESS,
Ab.mp4,KNOWN,Ab,8.0,18.691814058956915,SLOW_DOWN,lily,1,1,0,NO_MATCH,False,0.13,SUCCESS,
Ab.mp4,KNOWN,Ab,8.0,28.037721088435372,SLOW_DOWN,Ab,2,1,1,NO_MATCH,False,0.15,SUCCESS,
Ab.mp4,KNOWN,Ab,8.0,9.345907029478457,REVERB,Ab,10,1,9,MATCH,True,0.41,SUCCESS,
Ab.mp4,KNOWN,Ab,8.0,18.691814058956915,REVERB,Ab,11,1,10,MATCH,True,0.4,SUCCESS,
Ab.mp4,KNOWN,Ab,8.0,28.037721088435372,REVERB,Ab,21,1,20,MATCH,True,0.42,SUCCESS,
Ab.mp4,KNOWN,Ab,10.0,9.345907029478457,CLEAN,Ab,75,1,74,MATCH,True,0.17,SUCCESS,
Ab.mp4,KNOWN,Ab,10.0,18.691814058956915,CLEAN,Ab,928,1,927,MATCH,True,0.15,SUCCESS,
Ab.mp4,KNOWN,Ab,10.0,9.345907029478457,LIGHT,Ab,80,1,79,MATCH,True,0.17,SUCCESS,
Ab.mp4,KNOWN,Ab,10.0,18.691814058956915,LIGHT,Ab,867,1,866,MATCH,True,0.14,SUCCESS,
Ab.mp4,KNOWN,Ab,10.0,9.345907029478457,MEDIUM,Ab,59,1,58,MATCH,True,0.16,SUCCESS,
Ab.mp4,KNOWN,Ab,10.0,18.691814058956915,MEDIUM,Ab,534,1,533,MATCH,True,0.17,SUCCESS,
Ab.mp4,KNOWN,Ab,10.0,9.345907029478457,VOICE_OVER,Ab,18,1,17,MATCH,True,0.17,SUCCESS,
Ab.mp4,KNOWN,Ab,10.0,18.691814058956915,VOICE_OVER,Ab,90,1,89,MATCH,True,2.18,SUCCESS,
Ab.mp4,KNOWN,Ab,10.0,9.345907029478457,SPEED_UP,Ab,1,1,0,NO_MATCH,False,0.14,SUCCESS,
Ab.mp4,KNOWN,Ab,10.0,18.691814058956915,SPEED_UP,Ab,1,1,0,NO_MATCH,False,0.15,SUCCESS,
Ab.mp4,KNOWN,Ab,10.0,9.345907029478457,SLOW_DOWN,lily,3,1,2,NO_MATCH,False,0.2,SUCCESS,
Ab.mp4,KNOWN,Ab,10.0,18.691814058956915,SLOW_DOWN,Ab,2,1,1,NO_MATCH,False,0.14,SUCCESS,
Ab.mp4,KNOWN,Ab,10.0,9.345907029478457,REVERB,Ab,20,2,18,MATCH,True,0.46,SUCCESS,
Ab.mp4,KNOWN,Ab,10.0,18.691814058956915,REVERB,Ab,8,1,7,POSSIBLE_MATCH,True,0.46,SUCCESS,
bt.mp4,KNOWN,bt,5.0,6.9658616780045355,CLEAN,bt,180,1,179,MATCH,True,0.11,SUCCESS,
bt.mp4,KNOWN,bt,5.0,13.931723356009071,CLEAN,bt,197,2,195,MATCH,True,0.12,SUCCESS,
bt.mp4,KNOWN,bt,5.0,20.897585034013606,CLEAN,bt,349,2,347,MATCH,True,0.1,SUCCESS,
bt.mp4,KNOWN,bt,5.0,6.9658616780045355,LIGHT,bt,146,0,146,MATCH,True,0.12,SUCCESS,
bt.mp4,KNOWN,bt,5.0,13.931723356009071,LIGHT,bt,153,2,151,MATCH,True,0.13,SUCCESS,
bt.mp4,KNOWN,bt,5.0,20.897585034013606,LIGHT,bt,342,2,340,MATCH,True,0.11,SUCCESS,
bt.mp4,KNOWN,bt,5.0,6.9658616780045355,MEDIUM,bt,43,1,42,MATCH,True,0.11,SUCCESS,
bt.mp4,KNOWN,bt,5.0,13.931723356009071,MEDIUM,bt,52,1,51,MATCH,True,0.14,SUCCESS,
bt.mp4,KNOWN,bt,5.0,20.897585034013606,MEDIUM,bt,253,1,252,MATCH,True,0.14,SUCCESS,
bt.mp4,KNOWN,bt,5.0,6.9658616780045355,VOICE_OVER,kara,1,1,0,NO_MATCH,False,0.14,SUCCESS,
bt.mp4,KNOWN,bt,5.0,13.931723356009071,VOICE_OVER,bt,6,1,5,POSSIBLE_MATCH,True,0.14,SUCCESS,
bt.mp4,KNOWN,bt,5.0,20.897585034013606,VOICE_OVER,bt,53,1,52,MATCH,True,0.12,SUCCESS,
bt.mp4,KNOWN,bt,5.0,6.9658616780045355,SPEED_UP,Ab,1,1,0,NO_MATCH,False,0.13,SUCCESS,
bt.mp4,KNOWN,bt,5.0,13.931723356009071,SPEED_UP,kara,1,1,0,NO_MATCH,False,0.11,SUCCESS,
bt.mp4,KNOWN,bt,5.0,20.897585034013606,SPEED_UP,kara,1,1,0,NO_MATCH,False,0.13,SUCCESS,
bt.mp4,KNOWN,bt,5.0,6.9658616780045355,SLOW_DOWN,Ab,1,1,0,NO_MATCH,False,0.12,SUCCESS,
bt.mp4,KNOWN,bt,5.0,13.931723356009071,SLOW_DOWN,yo,1,1,0,NO_MATCH,False,0.11,SUCCESS,
bt.mp4,KNOWN,bt,5.0,20.897585034013606,SLOW_DOWN,yo,1,1,0,NO_MATCH,False,0.14,SUCCESS,
bt.mp4,KNOWN,bt,5.0,6.9658616780045355,REVERB,bt,2,1,1,NO_MATCH,False,0.28,SUCCESS,
bt.mp4,KNOWN,bt,5.0,13.931723356009071,REVERB,bt,3,1,2,NO_MATCH,False,2.34,SUCCESS,
bt.mp4,KNOWN,bt,5.0,20.897585034013606,REVERB,bt,22,1,21,MATCH,True,0.33,SUCCESS,
bt.mp4,KNOWN,bt,8.0,6.9658616780045355,CLEAN,bt,264,1,263,MATCH,True,0.1,SUCCESS,
bt.mp4,KNOWN,bt,8.0,13.931723356009071,CLEAN,bt,642,2,640,MATCH,True,0.11,SUCCESS,
bt.mp4,KNOWN,bt,8.0,6.9658616780045355,LIGHT,bt,197,1,196,MATCH,True,0.14,SUCCESS,
bt.mp4,KNOWN,bt,8.0,13.931723356009071,LIGHT,bt,572,2,570,MATCH,True,0.13,SUCCESS,
bt.mp4,KNOWN,bt,8.0,6.9658616780045355,MEDIUM,bt,53,1,52,MATCH,True,0.15,SUCCESS,
